Date,Open,High,Low,Close,Adj Close,Volume
9/18/2001,104.330002,105.300003,103.360001,104.050003,76.225784,22029200
9/19/2001,104.099998,104.5,98.559998,101.949997,74.687355,42771800
9/20/2001,100.400002,101.809998,98.559998,98.709999,72.313759,36210900
9/21/2001,94.279999,98.989998,93.800003,97.279999,71.533569,49782100
9/24/2001,99.720001,101.160004,99.059998,100.699997,74.048416,25549600
9/25/2001,100.75,102,99.900002,101.75,74.820518,25466200
9/26/2001,102.349998,102.400002,100.43,101.389999,74.555817,18587500
9/27/2001,101.25,102.290001,100,102.269997,75.202888,20536800
9/28/2001,102.980003,109.620003,102.5,104.440002,76.798599,21687200
10/1/2001,103.900002,104.32,102.830002,104.269997,76.673553,20457400
10/2/2001,104,105.580002,103.650002,105.580002,77.636856,19833100
10/3/2001,104.599998,107.879997,104.349998,107.349998,78.938408,32045800
10/4/2001,108.290001,108.970001,106.75,107.440002,79.004593,32674100
10/5/2001,107.25,107.620003,105.519997,107.230003,78.850174,29796100
10/8/2001,106.269997,107.300003,105.870003,106.529999,78.335449,12970300
10/9/2001,106.610001,106.75,105.599998,105.959999,77.916336,15976300
10/10/2001,105.800003,108.550003,105.519997,108.32,79.651695,19987400
10/11/2001,108.949997,110.300003,108.949997,110,80.887047,23006300
10/12/2001,109.150002,109.889999,107.300003,109.5,80.519394,31360500
10/15/2001,108.629997,109.449997,108.059998,109.300003,80.372307,16873000
10/16/2001,109.800003,110.610001,108.949997,109.989998,80.879723,15877100
10/17/2001,111.07,111.150002,107.650002,107.650002,79.159012,28542300
10/18/2001,107.82,108.160004,106.75,107.419998,78.989899,16510000
10/19/2001,107,107.910004,106.010002,107.349998,78.938408,21912500
10/22/2001,107.300003,109.57,107.209999,109.470001,80.497345,17540600
10/23/2001,109.959999,110.279999,108.379997,108.910004,80.085548,22062500
10/24/2001,108.980003,109.449997,108.220001,108.620003,79.872292,16065200
10/25/2001,107.449997,110.599998,106.739998,110.57,81.306213,27467900
10/26/2001,109.949997,111.790001,109.669998,110.32,81.122368,18623300
10/29/2001,110.160004,110.550003,107.449997,107.449997,79.011963,18727500
10/30/2001,107.349998,107.699997,105.559998,106.160004,78.063354,26178600
10/31/2001,106.900002,107.860001,105.800003,105.800003,77.798645,28124200
11/1/2001,106.599998,109.010002,105.699997,108.510002,79.791412,29806800
11/2/2001,108.440002,109.379997,107.870003,109.25,80.335548,17575900
11/5/2001,110.120003,111.089996,109.949997,110.68,81.38707,15929500
11/6/2001,110.349998,112.480003,109.849998,112.400002,82.651871,23245800
11/7/2001,111.769997,113.120003,111.639999,112.25,82.541557,19716000
11/8/2001,112.870003,114.080002,111.900002,112.599998,82.798965,22563500
11/9/2001,112.25,112.959999,111.440002,112.720001,82.887146,15895800
11/12/2001,111,112.650002,110,112.029999,82.379799,26068800
11/13/2001,113.440002,114.550003,113.18,114.550003,84.232834,15296200
11/14/2001,115.169998,115.400002,113.709999,114.660004,84.313728,17571300
11/15/2001,114.370003,115.18,113.93,114.870003,84.468147,19470200
11/16/2001,115.080002,115.099998,113.400002,114.360001,84.09314,18134900
11/19/2001,114.919998,115.849998,114.449997,115.769997,85.129936,13625400
11/20/2001,115.370003,115.800003,114.639999,114.800003,84.416679,16209700
11/21/2001,114.5,114.669998,113.510002,114.040001,83.857811,11470200
11/23/2001,114.040001,115.75,114,115.68,85.063797,6717100
11/26/2001,115.75,116.339996,115.07,115.93,85.247612,13726000
11/27/2001,115.620003,116.900002,114.089996,115.43,84.879951,19261400
11/28/2001,114.739998,115.169998,113.25,113.339996,83.343102,20195500
11/29/2001,113.660004,114.919998,113,114.870003,84.468147,16354700
11/30/2001,114.400002,114.910004,114.019997,114.050003,83.865181,13680300
12/3/2001,113.650002,114.080002,113.010002,113.370003,83.365158,15220400
12/4/2001,113.919998,115.300003,113.349998,115.290001,84.777008,17239900
12/5/2001,115.610001,118,115.559998,117.400002,86.32856,25204000
12/6/2001,117.339996,117.940002,116.93,117.339996,86.284431,17972900
12/7/2001,116.900002,117.089996,115.699997,116.559998,85.710884,18857800
12/10/2001,115.849998,116.389999,114.349998,114.379997,84.107841,13862700
12/11/2001,114.900002,115.720001,113.900002,114.150002,83.938705,20833300
12/12/2001,114.550003,114.779999,113.110001,114.279999,84.034309,16171500
12/13/2001,113.449997,113.699997,112.040001,112.059998,82.401878,19026700
12/14/2001,112.330002,113.489998,112,113.129997,83.18866,16721900
12/17/2001,112.989998,114.360001,112.900002,114.300003,84.049004,13925900
12/18/2001,114.629997,115.150002,114.339996,114.980003,84.549057,13663700
12/19/2001,114.089996,115.919998,114,115.790001,85.144661,20143400
12/20/2001,115.5,115.800003,114.550003,114.650002,84.306374,14867900
12/21/2001,115.029999,115.07,114.199997,114.949997,84.817711,14037700
12/24/2001,114.830002,115.040001,114.610001,114.730003,84.655373,5728800
12/26/2001,114.650002,116.209999,114.650002,115.360001,85.120239,10304800
12/27/2001,115.300003,116.080002,115.25,116.059998,85.636742,9407300
12/28/2001,116.290001,116.75,115.919998,116,85.592445,10593800
12/31/2001,116.150002,116.389999,114.230003,114.300003,84.338074,14619500
1/2/2002,115.110001,115.75,113.809998,115.529999,85.245682,18651900
1/3/2002,115.650002,116.949997,115.540001,116.839996,86.21228,15743000
1/4/2002,117.169998,117.980003,116.550003,117.620003,86.787834,20140700
1/7/2002,117.699997,117.989998,116.559998,116.790001,86.175385,13106500
1/8/2002,116.790001,117.059998,115.970001,116.519997,85.976166,12683700
1/9/2002,116.68,117.779999,115.339996,115.57,85.275177,16610300
1/10/2002,115.690002,116.349998,115.300003,116.080002,85.651505,12823400
1/11/2002,116.209999,116.279999,114.699997,114.940002,84.810371,13708400
1/14/2002,114.650002,114.839996,113.959999,114.220001,84.279091,12301100
1/15/2002,114.550003,115.389999,113.900002,115.150002,84.965309,20219900
1/16/2002,114.300003,114.400002,112.690002,112.82,83.246048,17067000
1/17/2002,113.760002,114.239998,113.400002,113.669998,83.873253,17283400
1/18/2002,113,113.849998,112.669998,113.150002,83.489548,17028000
1/22/2002,113.75,113.93,112.019997,112.370003,82.914032,11689300
1/23/2002,112.629997,113.550003,112.019997,113.230003,83.548599,12438900
1/24/2002,113.639999,114.25,113.32,113.580002,83.806847,12142800
1/25/2002,113.120003,114.18,113.040001,113.550003,83.784714,12810700
1/28/2002,113.900002,114.190002,112.919998,113.860001,84.013451,10589200
1/29/2002,113.849998,114.129997,110.050003,110.279999,81.371887,27720800
1/30/2002,110.389999,113.389999,108.400002,111.870003,82.54509,34711800
1/31/2002,112.150002,113.300003,111.620003,113.18,83.511688,19909200
2/1/2002,113.089996,113.300003,112.169998,112.650002,83.120621,15838500
2/4/2002,112.230003,112.230003,109.440002,109.849998,81.054619,24243400
2/5/2002,109.400002,110.489998,108.529999,109.169998,80.552849,33614000
2/6/2002,109.650002,109.739998,108.059998,108.699997,80.206047,29486000
2/7/2002,108.720001,109.860001,108,108.019997,79.7043,23445400
2/8/2002,108.629997,110.75,108.300003,110.089996,81.231697,19277800
2/11/2002,110.050003,111.639999,109.82,111.440002,82.227776,18792400
2/12/2002,110.959999,111.709999,110.029999,111.089996,81.969543,13942500
2/13/2002,111.480003,112.540001,111.349998,112.269997,82.84024,16781100
2/14/2002,112.510002,112.970001,111.589996,112.059998,82.68528,20453800
2/15/2002,112.150002,112.239998,110.709999,110.889999,81.82196,18366800
